DataHora,Categoria,Prato,Valor,Tempo_Preparo,Avaliacao,Data,Hora
2025-06-01 13:00:00,Bebida,Caipirinha,19.64,4.440599409765397,4.359451092344692,2025-06-01,13
2025-06-01 16:00:00,Entrada,Bruschetta,70.63,22.896064077536955,4.583717364576454,2025-06-01,16
2025-06-01 15:00:00,Bebida,Suco Natural,21.65,7.095609329882425,3.9374150964109265,2025-06-01,15
2025-06-01 21:00:00,Prato Principal,Lasanha Vegana,46.73,16.375410837434835,3.918856235379514,2025-06-01,21
2025-06-01 13:00:00,Entrada,Salada Caprese,30.45,11.483280991462964,3.1301896719618805,2025-06-01,13
2025-06-01 19:00:00,Bebida,Caipirinha,14.34,12.085055548315875,4.6162309285605785,2025-06-01,19
2025-06-01 20:00:00,Entrada,Bruschetta,75.95,4.866401921349539,4.759711805780919,2025-06-01,20
2025-06-01 18:00:00,Prato Principal,Lasanha Vegana,26.87,29.74421428859508,4.990425293019513,2025-06-01,18
2025-06-01 16:00:00,Entrada,Ceviche,37.37,17.830564133905206,3.847773274811705,2025-06-01,16
2025-06-01 18:00:00,Prato Principal,Filé ao Molho Madeira,22.94,28.692332899977053,4.285684140594985,2025-06-01,18
2025-06-01 12:00:00,Entrada,Salada Caprese,13.17,9.954573285674462,3.4083528932315565,2025-06-01,12
2025-06-01 19:00:00,Bebida,Suco Natural,12.14,11.718091447842307,3.318479922318633,2025-06-01,19
2025-06-01 13:00:00,Bebida,Caipirinha,6.49,12.910613973565196,4.643874229796679,2025-06-01,13
2025-06-01 17:00:00,Sobremesa,Petit Gâteau,15.18,5.803912383886807,4.045393812074393,2025-06-01,17
2025-06-01 18:00:00,Sobremesa,Petit Gâteau,33.16,9.111339393646725,3.9948083456568497,2025-06-01,18
2025-06-01 15:00:00,Sobremesa,Pudim,54.63,9.63994939209833,4.701766448946012,2025-06-01,15
2025-06-01 17:00:00,Sobremesa,Pudim,63.25,17.47717126441737,4.36909062599666,2025-06-01,17
2025-06-01 14:00:00,Prato Principal,Risoto de Camarão,39.93,25.435235341190857,4.0504963247670664,2025-06-01,14
2025-06-01 21:00:00,Prato Principal,Risoto de Camarão,73.53,22.327917731632475,3.4524730645928323,2025-06-01,21
2025-06-01 12:00:00,Prato Principal,Filé ao Molho Madeira,15.39,20.95753198553406,3.949121478207732,2025-06-01,12
2025-06-01 22:00:00,Bebida,Refrigerante,17.67,11.285584350281397,4.357256447931586,2025-06-01,22
2025-06-01 11:00:00,Bebida,Suco Natural,11.49,8.361874083609987,3.7692009728758356,2025-06-01,11
2025-06-01 17:00:00,Prato Principal,Filé ao Molho Madeira,39.9,26.48060138532288,4.330527636089945,2025-06-01,17
2025-06-01 22:00:00,Prato Principal,Lasanha Vegana,39.22,23.022417742098533,4.0554315717650296,2025-06-01,22
2025-06-01 11:00:00,Entrada,Ceviche,25.31,4.5420016515636785,4.831870265383194,2025-06-01,11
2025-06-01 11:00:00,Bebida,Suco Natural,10.04,0.4061439235047928,4.186743062275392,2025-06-01,11
2025-06-01 11:00:00,Prato Principal,Risoto de Camarão,78.36,22.791169883869934,4.157917457409411,2025-06-01,11
2025-06-01 17:00:00,Prato Principal,Lasanha Vegana,20.14,26.69910482093322,4.196309925027713,2025-06-01,17
2025-06-01 14:00:00,Sobremesa,Tiramisu,26.63,5.990860783251531,4.892007859466339,2025-06-01,14
2025-06-01 13:00:00,Sobremesa,Pudim,47.5,5.047318374346558,3.9168511351986144,2025-06-01,13
2025-06-01 17:00:00,Prato Principal,Risoto de Camarão,59.78,22.31919949910489,4.748264428247442,2025-06-01,17
2025-06-01 17:00:00,Sobremesa,Pudim,37.07,6.083733538318814,4.0389692418971626,2025-06-01,17
2025-06-01 19:00:00,Bebida,Suco Natural,10.16,15.21930305459329,4.463224080667348,2025-06-01,19
2025-06-01 13:00:00,Prato Principal,Lasanha Vegana,16.52,17.79979276158101,4.79536362805682,2025-06-01,13
2025-06-01 18:00:00,Sobremesa,Pudim,72.8,11.252464251729382,4.373224104748488,2025-06-01,18
2025-06-01 19:00:00,Bebida,Caipirinha,20.71,14.269988932474506,5.0,2025-06-01,19
2025-06-01 13:00:00,Bebida,Suco Natural,10.68,9.285045326462367,3.232714902249475,2025-06-01,13
2025-06-01 14:00:00,Prato Principal,Lasanha Vegana,59.85,21.24410287668036,3.634785973439735,2025-06-01,14
2025-06-01 16:00:00,Sobremesa,Pudim,31.56,13.171201481321448,5.0,2025-06-01,16
2025-06-01 18:00:00,Prato Principal,Lasanha Vegana,51.29,24.94278276265136,4.406677043811823,2025-06-01,18
2025-06-01 11:00:00,Prato Principal,Risoto de Camarão,34.51,31.822167236601594,4.786014451902201,2025-06-01,11
2025-06-01 11:00:00,Prato Principal,Filé ao Molho Madeira,44.94,32.39924387599277,4.398387140635565,2025-06-01,11
2025-06-01 15:00:00,Bebida,Caipirinha,23.3,9.379338055591703,4.570170408973869,2025-06-01,15
2025-06-01 17:00:00,Bebida,Suco Natural,22.06,5.766031409657975,3.442576387657068,2025-06-01,17
2025-06-01 20:00:00,Prato Principal,Lasanha Vegana,21.86,28.550546201819767,4.246239435775549,2025-06-01,20
2025-06-01 12:00:00,Prato Principal,Filé ao Molho Madeira,16.8,25.29104359223,3.6285148510846885,2025-06-01,12
2025-06-01 20:00:00,Sobremesa,Pudim,58.79,5.204959517866106,4.891002302085972,2025-06-01,20
2025-06-01 17:00:00,Prato Principal,Risoto de Camarão,27.93,21.335244324781385,4.297673236273487,2025-06-01,17
2025-06-01 22:00:00,Sobremesa,Pudim,23.6,9.173451927232188,3.856412412333745,2025-06-01,22
2025-06-01 16:00:00,Prato Principal,Lasanha Vegana,36.29,25.825113990546694,3.772035541085316,2025-06-01,16
2025-06-01 16:00:00,Prato Principal,Risoto de Camarão,47.99,28.43130095187257,3.3936420644051744,2025-06-01,16
2025-06-01 11:00:00,Entrada,Bruschetta,67.58,10.534398631853884,4.0325913763026335,2025-06-01,11
2025-06-01 14:00:00,Prato Principal,Filé ao Molho Madeira,77.57,31.051993165683193,4.124382017253885,2025-06-01,14
2025-06-01 11:00:00,Prato Principal,Lasanha Vegana,54.62,14.874287066711965,4.293227157384714,2025-06-01,11
2025-06-01 17:00:00,Prato Principal,Lasanha Vegana,62.08,21.33653899348078,3.9108615430179317,2025-06-01,17
2025-06-01 12:00:00,Sobremesa,Tiramisu,38.63,8.328764544248163,4.0410765467447085,2025-06-01,12
2025-06-01 17:00:00,Entrada,Salada Caprese,22.8,15.919277572047791,4.488948567549418,2025-06-01,17
2025-06-01 13:00:00,Prato Principal,Risoto de Camarão,61.1,25.432829072612773,3.9035586337698227,2025-06-01,13
2025-06-01 14:00:00,Entrada,Bruschetta,33.93,18.495461909299944,4.4999483168555034,2025-06-01,14
2025-06-01 20:00:00,Prato Principal,Filé ao Molho Madeira,55.48,23.378022762163003,4.462304500315255,2025-06-01,20
2025-06-01 18:00:00,Bebida,Caipirinha,15.02,19.667713147149957,4.406937418625404,2025-06-01,18
2025-06-01 22:00:00,Bebida,Refrigerante,22.34,15.862178911961212,4.465700005480165,2025-06-01,22
2025-06-01 22:00:00,Prato Principal,Lasanha Vegana,19.0,27.406088642140634,4.433528586364444,2025-06-01,22
2025-06-01 22:00:00,Bebida,Caipirinha,18.03,6.6551258634165755,3.7659578872977564,2025-06-01,22
2025-06-01 20:00:00,Prato Principal,Risoto de Camarão,12.73,17.281372986540518,4.75844672010084,2025-06-01,20
2025-06-01 14:00:00,Bebida,Refrigerante,5.47,7.053176215278942,4.624801048510513,2025-06-01,14
2025-06-01 15:00:00,Sobremesa,Petit Gâteau,54.03,11.810069559712353,4.490657067017862,2025-06-01,15
2025-06-01 11:00:00,Prato Principal,Lasanha Vegana,22.42,28.736468025616308,4.505185132716733,2025-06-01,11
2025-06-01 15:00:00,Prato Principal,Risoto de Camarão,36.04,21.653986359093935,4.7809686588733875,2025-06-01,15
2025-06-01 11:00:00,Sobremesa,Tiramisu,61.79,6.865710652309228,3.528996347973322,2025-06-01,11
2025-06-01 14:00:00,Prato Principal,Risoto de Camarão,37.27,22.05173571656417,4.050849388418147,2025-06-01,14
2025-06-01 14:00:00,Bebida,Caipirinha,6.83,11.620831762442211,4.134928472816158,2025-06-01,14
2025-06-01 14:00:00,Prato Principal,Lasanha Vegana,15.83,26.009537209013978,3.797631657462252,2025-06-01,14
2025-06-01 15:00:00,Prato Principal,Filé ao Molho Madeira,76.23,23.287055658846768,4.324657270810977,2025-06-01,15
2025-06-01 22:00:00,Bebida,Suco Natural,24.92,19.06833287939454,4.4022914475587624,2025-06-01,22
2025-06-01 12:00:00,Sobremesa,Pudim,53.28,7.8334829654872,4.301911363763733,2025-06-01,12
2025-06-01 14:00:00,Sobremesa,Petit Gâteau,15.69,2.759578292513379,3.4962681128117223,2025-06-01,14
2025-06-01 13:00:00,Bebida,Suco Natural,24.72,6.678862783477886,4.880055683124086,2025-06-01,13
2025-06-01 13:00:00,Prato Principal,Risoto de Camarão,59.36,21.0414001067221,3.6140115727747775,2025-06-01,13
2025-06-01 11:00:00,Entrada,Salada Caprese,42.81,16.613592801690448,3.786384528223839,2025-06-01,11
2025-06-01 18:00:00,Prato Principal,Risoto de Camarão,77.35,17.771950137639585,3.7779315432411305,2025-06-01,18
2025-06-01 15:00:00,Prato Principal,Lasanha Vegana,77.43,26.120462409052084,4.206296200390898,2025-06-01,15
2025-06-01 11:00:00,Sobremesa,Petit Gâteau,15.28,7.640612379410653,3.921909427099006,2025-06-01,11
2025-06-01 20:00:00,Sobremesa,Tiramisu,36.89,11.83454708548487,4.304748431316179,2025-06-01,20
2025-06-01 20:00:00,Prato Principal,Filé ao Molho Madeira,53.41,20.801390789096118,3.9003036772779893,2025-06-01,20
2025-06-01 21:00:00,Prato Principal,Filé ao Molho Madeira,28.62,18.37194862248706,3.8143972692091435,2025-06-01,21
2025-06-01 13:00:00,Entrada,Bruschetta,29.58,23.638738137171295,3.4536993177921538,2025-06-01,13
2025-06-01 20:00:00,Bebida,Refrigerante,13.33,13.901375822100007,4.275539981076364,2025-06-01,20
2025-06-01 11:00:00,Bebida,Refrigerante,5.9,9.631944421040469,4.058889405506394,2025-06-01,11
2025-06-01 16:00:00,Bebida,Caipirinha,8.01,1.434327354545612,4.876936187082706,2025-06-01,16
2025-06-01 11:00:00,Bebida,Suco Natural,21.77,-2.2613230065786656,3.7493530906676664,2025-06-01,11
2025-06-01 15:00:00,Entrada,Bruschetta,70.53,15.026218498590916,4.223490296882371,2025-06-01,15
2025-06-01 11:00:00,Bebida,Caipirinha,21.99,8.434881458917797,3.400438263731259,2025-06-01,11
2025-06-01 12:00:00,Prato Principal,Lasanha Vegana,24.51,26.679743714270803,4.447204643624914,2025-06-01,12
2025-06-01 21:00:00,Entrada,Ceviche,57.01,22.755759877612615,4.257837317146429,2025-06-01,21
2025-06-01 19:00:00,Bebida,Suco Natural,16.04,15.13289923276039,4.283044066254075,2025-06-01,19
2025-06-01 12:00:00,Entrada,Salada Caprese,12.01,18.226879747925736,4.884315778766174,2025-06-01,12
2025-06-01 21:00:00,Prato Principal,Lasanha Vegana,19.55,16.345634481172162,4.922169395990906,2025-06-01,21
2025-06-01 22:00:00,Bebida,Refrigerante,11.97,17.51178526048014,4.237047390209888,2025-06-01,22
2025-06-01 22:00:00,Sobremesa,Petit Gâteau,70.37,9.926408706825317,4.5982027148481635,2025-06-01,22
2025-06-01 21:00:00,Bebida,Caipirinha,14.85,15.613388423990106,3.4794021197520006,2025-06-01,21
2025-06-01 18:00:00,Prato Principal,Risoto de Camarão,42.21,16.17936550349959,4.949944337837599,2025-06-01,18
2025-06-01 20:00:00,Bebida,Caipirinha,14.48,5.071369768322281,4.452023257758922,2025-06-01,20
